Date,LineNumber,UNIT_MULT,DataValue
2025-04-01,28,0,128.858
2025-04-01,13,0,131.496
2025-04-01,19,0,137.063
2025-04-01,29,0,139.734
2025-04-01,2,0,114.779
2025-04-01,18,0,129.805
2025-04-01,14,0,130.767
2025-04-01,17,0,135.889
2025-04-01,30,0,123.875
2025-04-01,1,0,125.977
2025-04-01,15,0,139.587
2025-04-01,16,0,119.953
2025-04-01,31,0,122.806
2025-04-01,3,0,106.099
2025-04-01,26,0,122.48
2025-04-01,20,0,139.917
2025-04-01,23,0,130.707
2025-04-01,6,0,86.017
2025-04-01,9,0,128.814
2025-04-01,22,0,148.187
2025-04-01,24,0,124.75
2025-04-01,7,0,98.131
2025-04-01,10,0,103.937
2025-04-01,25,0,125.329
2025-05-01,19,0,137.403
2025-05-01,9,0,129.039
2025-05-01,4,0,126.068
2025-05-01,6,0,85.998
2025-05-01,20,0,139.633
2025-05-01,14,0,130.988
2025-05-01,12,0,115.357
2025-05-01,2,0,114.861
2025-05-01,29,0,140.097
2025-05-01,28,0,129.065
2025-05-01,18,0,129.473
2025-05-01,10,0,103.506
2025-05-01,3,0,106.123
2025-05-01,25,0,125.579
2025-05-01,23,0,131.013
2025-05-01,17,0,135.92
2025-05-01,13,0,131.749
2025-05-01,30,0,124.029
2025-05-01,7,0,97.692
2025-05-01,15,0,139.984
2025-05-01,5,0,111.347
2025-05-01,22,0,149.243
2025-05-01,11,0,126.889
2025-05-01,16,0,120.049
2025-05-01,1,0,126.172
2025-05-01,8,0,119.775
2025-05-01,26,0,122.709
2025-05-01,31,0,123.019
2025-05-01,27,0,132.488
2025-05-01,24,0,124.825
2025-05-01,21,0,121.295
2025-06-01,13,0,132.061
2025-06-01,18,0,129.567
2025-06-01,16,0,120.549
2025-06-01,29,0,140.496
2025-06-01,2,0,115.314
2025-06-01,24,0,125.333
2025-06-01,7,0,97.847
2025-06-01,23,0,131.144
2025-06-01,8,0,120.2
2025-06-01,14,0,131.356
2025-06-01,17,0,136.005
2025-06-01,1,0,126.533
2025-06-01,30,0,124.441
2025-06-01,15,0,140.466
2025-06-01,10,0,103.968
2025-06-01,9,0,129.378
2025-06-01,21,0,121.567
2025-06-01,22,0,148.108
2025-06-01,11,0,128.078
2025-06-01,12,0,115.671
2025-06-01,20,0,140.157
2025-06-01,4,0,125.6
2025-06-01,6,0,86.786
2025-06-01,5,0,112.794
2025-06-01,19,0,137.374
2025-06-01,25,0,125.909
2025-06-01,28,0,129.325
2025-06-01,26,0,123.025
2025-06-01,27,0,133.709
2025-06-01,3,0,106.622
2025-06-01,31,0,123.402
2025-07-01,9,0,129.242
2025-07-01,7,0,98.29
2025-07-01,24,0,125.475
2025-07-01,13,0,132.52
2025-07-01,15,0,140.789
2025-07-01,16,0,120.793
2025-07-01,21,0,121.762
2025-07-01,5,0,112.932
2025-07-01,26,0,123.362
2025-07-01,10,0,103.986
2025-07-01,22,0,149.268
2025-07-01,11,0,125.868
2025-07-01,4,0,125.913
2025-07-01,30,0,124.558
2025-07-01,18,0,130.016
2025-07-01,3,0,106.502
2025-07-01,28,0,129.829
2025-07-01,29,0,140.878
2025-07-01,2,0,115.16
2025-07-01,19,0,137.542
2025-07-01,12,0,115.835
2025-07-01,25,0,126.253
2025-07-01,23,0,131.52
2025-07-01,8,0,120.026
2025-07-01,6,0,85.991
2025-07-01,14,0,131.788
2025-07-01,17,0,136.339
2025-07-01,27,0,132.286
2025-07-01,20,0,141.847
2025-07-01,1,0,126.783
2025-07-01,31,0,123.611
