Datetime,asset,category,interval,source,open,high,low,close,volume,dividends,stock_splits,symbol,assetcode,name,price_change,price_change_abs,hl_range,oc_range,ma_10,ma_20,ma_50,volatility_14,volatility_annualized,rsi,volume_change,volume_ma_20,volume_ratio,high_20,low_20,price_position,hour,day_of_week,day_of_month,month,williams_r,cci,adx,volatility_regime,momentum_5,momentum_10,momentum_20,momentum_50,resistance_level,support_level,price_position_enhanced,volume_roc,volume_ma_50,volume_ratio_50,volume_trend,trend_strength,market_regime,data_quality_flag,processing_timestamp,silver_processing_timestamp
2025-08-11 22:00:00+00:00,BTC,crypto,1h,yahoo_finance,118736.8125,118921.9140625,118318.578125,118893.6640625,0,0.0,0.0,BTC-USD,BTC,Bitcoin,0.0016158524264902,191.8046875,603.3359375,156.8515625,119537.7421875,,,,,,-1.0,,,,,,22,0,11,8,,,,normal,-0.005328526334950179,-0.005345754102239364,,,,,,-1.0,,,0,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-11 23:00:00+00:00,BTC,crypto,1h,yahoo_finance,118789.171875,118879.2734375,118665.2421875,118727.8359375,87801856,0.0,0.0,BTC-USD,BTC,Bitcoin,-0.0013947599841218,-165.828125,214.03125,61.3359375,119408.371875,,,,,,inf,,,,,,23,0,11,8,,,,normal,-0.008535493389709492,-0.010778924642237064,,,,,,-0.9174058119552737,,,0,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-12 00:00:00+00:00,BTC,crypto,1h,yahoo_finance,118692.4453125,119002.5390625,118653.796875,119002.5390625,0,0.0,0.0,BTC-USD,BTC,Bitcoin,0.0023137213175905,274.703125,348.7421875,310.09375,119285.66796875,,,,,,-1.0,,,,,,0,1,12,8,,,,normal,-0.00032459880775237426,-0.010205800283390132,,,,,,,,,0,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-12 01:00:00+00:00,BTC,crypto,1h,yahoo_finance,118981.7265625,119076.65625,118844.3203125,119015.5,242524160,0.0,0.0,BTC-USD,BTC,Bitcoin,0.0001089131173344,12.9609375,232.3359375,33.7734375,119157.34765625,,,,,42.49832278653152,inf,,,,,,1,1,12,8,-69.36605951531325,-52.87251061556315,,normal,0.0011003309404333805,-0.010666807635213216,,,,,,-0.7544783546193399,,,0,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-12 02:00:00+00:00,BTC,crypto,1h,yahoo_finance,119017.75,119282.2421875,118886.8046875,119094.8203125,0,0.0,0.0,BTC-USD,BTC,Bitcoin,0.0006664704387244,79.3203125,395.4375,77.0703125,119064.26328125,,,0.0026911646583267,0.2518792107968966,43.79177642729434,-1.0,,,,,,2,1,12,8,-66.21559561858069,-33.952104205397156,,normal,0.0033104867907634006,-0.0077553726302675985,,,,,,-1.0,,,0,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-12 03:00:00+00:00,BTC,crypto,1h,yahoo_finance,119076.3515625,119126.578125,118816.2265625,118821.9609375,0,0.0,0.0,BTC-USD,BTC,Bitcoin,-0.0022911103462268,-272.859375,310.3515625,254.390625,118993.40078125,,,0.0024252212309184,0.2269882698412898,31.88076750607728,,,,,,,3,1,12,8,-77.053092127719,-48.43142739755068,,normal,-0.0006030861742329918,-0.005928398948621627,,,,,,,,,0,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-12 04:00:00+00:00,BTC,crypto,1h,yahoo_finance,118830.3046875,119166.390625,118823.96875,119096.234375,0,0.0,0.0,BTC-USD,BTC,Bitcoin,0.0023082722700078,274.2734375,342.421875,265.9296875,118928.028125,,,0.0024742312576114,0.2315753569993967,33.21702592390349,,,,,,,4,1,12,8,-66.15943153256586,-27.903467594498583,,normal,0.003102881768130006,-0.0054590962484003525,,,,,,-1.0,,,0,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-12 05:00:00+00:00,BTC,crypto,1h,yahoo_finance,119000.5,119000.5,118479.1328125,118774.203125,0,0.0,0.0,BTC-USD,BTC,Bitcoin,-0.0027039582879339,-322.03125,521.3671875,226.296875,118901.33046875,,,0.0025020034273799,0.2341746896644503,28.997761322541763,,,,,,,5,1,12,8,-78.94994880069507,-69.36932696685898,,normal,-0.0019187484510736486,-0.002242724435366439,,,,,,,,,0,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-12 06:00:00+00:00,BTC,crypto,1h,yahoo_finance,118862.8984375,119040.984375,118714.859375,118875.28125,1149059072,0.0,0.0,BTC-USD,BTC,Bitcoin,0.0008510107610961,101.078125,326.125,12.3828125,118900.38984375,,,0.0025103233809489,0.2349533946509044,33.36353714503932,inf,,,,,,6,1,12,8,-66.84303640550536,-37.12470104413128,,normal,-0.0011781553663178235,-7.912078668670386e-05,,,,,,3.737915892585712,,,0,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-12 07:00:00+00:00,BTC,crypto,1h,yahoo_finance,118849.84375,119158.25,118849.84375,119008.7265625,0,0.0,0.0,BTC-USD,BTC,Bitcoin,0.0011225656931936,133.4453125,308.40625,158.8828125,118931.0765625,119266.358984375,,0.0023433738141945,0.2193277713777801,41.57144299197497,-1.0,514042265.6,0.0,120761.953125,118244.21875,0.3036491140968753,7,1,12,8,-52.70255247780297,20.016256108450598,,normal,-0.0007229008765796685,0.002585192760380828,,,120761.953125,118244.21875,0.3036491140968753,,,,-1,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
