,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,adx,adx_lower,adx_upper,cci,cci_lower,cci_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,ma_20,ma_20_lower,ma_20_upper,ma_50,ma_50_lower,ma_50_upper,momentum_10,momentum_10_lower,momentum_10_upper,rsi,rsi_lower,rsi_upper,volatility_14,volatility_14_lower,volatility_14_upper,volume,volume_lower,volume_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
286,2025-06-24,111578.07064759232,103488.87608158306,106329.77635690132,111578.07064759232,111578.07064759232,-6586.79625373345,-6586.79625373345,-6586.79625373345,-1609.7019478659945,-1609.7019478659945,-1609.7019478659945,133.39119804884916,133.39119804884916,133.39119804884916,-2849.356959519213,-2849.356959519213,-2849.356959519213,-947.2502901295991,-947.2502901295991,-947.2502901295991,852.034426760338,852.034426760338,852.034426760338,-256.7828089815741,-256.7828089815741,-256.7828089815741,-1668.2526380584386,-1668.2526380584386,-1668.2526380584386,642.0373694270017,642.0373694270017,642.0373694270017,5.16773128020451,5.16773128020451,5.16773128020451,-3737.4392942142363,-3737.4392942142363,-3737.4392942142363,0.0,0.0,0.0,104991.27439385887
287,2025-06-25,111755.96502596689,105622.42909078948,108301.59851331673,111755.96502596689,111755.96502596689,-4774.647228916249,-4774.647228916249,-4774.647228916249,-1754.1101359731038,-1754.1101359731038,-1754.1101359731038,1286.518866981232,1286.518866981232,1286.518866981232,-907.9727880023904,-907.9727880023904,-907.9727880023904,-965.5885341253432,-965.5885341253432,-965.5885341253432,865.2257896332236,865.2257896332236,865.2257896332236,-80.46472121490592,-80.46472121490592,-80.46472121490592,-904.5218106368425,-904.5218106368425,-904.5218106368425,633.2999646289632,633.2999646289632,633.2999646289632,11.667792704386219,11.667792704386219,11.667792704386219,-3866.674440913859,-3866.674440913859,-3866.674440913859,0.0,0.0,0.0,106981.31779705064
288,2025-06-26,111933.85940434142,106206.38051524617,109032.31815681695,111933.85940434142,111933.85940434142,-4356.098524615308,-4356.098524615308,-4356.098524615308,-1897.3673078916656,-1897.3673078916656,-1897.3673078916656,1345.719167247553,1345.719167247553,1345.719167247553,-421.18607679997115,-421.18607679997115,-421.18607679997115,-973.7338239316871,-973.7338239316871,-973.7338239316871,877.6287007403728,877.6287007403728,877.6287007403728,-315.62133718260327,-315.62133718260327,-315.62133718260327,-224.71733348264655,-224.71733348264655,-224.71733348264655,773.1805555272264,773.1805555272264,773.1805555272264,-6.274697826520745,-6.274697826520745,-6.274697826520745,-3934.912447815336,-3934.912447815336,-3934.912447815336,0.0,0.0,0.0,107577.7608797261
289,2025-06-27,112111.75378271598,106209.95780009154,108964.22236414421,112111.75378271598,112111.75378271598,-4520.048863726167,-4520.048863726167,-4520.048863726167,-2016.2985790312332,-2016.2985790312332,-2016.2985790312332,972.2452997917215,972.2452997917215,972.2452997917215,-584.5913379795448,-584.5913379795448,-584.5913379795448,-978.4023164617017,-978.4023164617017,-978.4023164617017,882.4348198880637,882.4348198880637,882.4348198880637,19.524567925644128,19.524567925644128,19.524567925644128,-234.47930647557808,-234.47930647557808,-234.47930647557808,773.2669787652382,773.2669787652382,773.2669787652382,-2.882802381699242,-2.882802381699242,-2.882802381699242,-3935.4575257466227,-3935.4575257466227,-3935.4575257466227,0.0,0.0,0.0,107591.70491898981
290,2025-06-28,112289.64816109052,106527.40580176553,109265.19572090692,112289.64816109052,112289.64816109052,-4393.826195611508,-4393.826195611508,-4393.826195611508,-2126.7347593751174,-2126.7347593751174,-2126.7347593751174,884.3700526324246,884.3700526324246,884.3700526324246,-531.1805087519215,-531.1805087519215,-531.1805087519215,-983.2649590849969,-983.2649590849969,-983.2649590849969,887.8779490318026,887.8779490318026,887.8779490318026,12.39453828730605,12.39453828730605,12.39453828730605,48.56490917644267,48.56490917644267,48.56490917644267,784.0354702824691,784.0354702824691,784.0354702824691,-38.42370970225241,-38.42370970225241,-38.42370970225241,-3862.645686859586,-3862.645686859586,-3862.645686859586,0.0,0.0,0.0,107895.82196547902
291,2025-06-29,112467.54253946505,107258.87233290942,110084.36450813795,112467.54253946505,112467.54253946505,-3756.405375005914,-3756.405375005914,-3756.405375005914,-2270.365002431974,-2270.365002431974,-2270.365002431974,1067.7268808535423,1067.7268808535423,1067.7268808535423,-44.328728503160754,-44.328728503160754,-44.328728503160754,-977.2153016120517,-977.2153016120517,-977.2153016120517,892.4870162403184,892.4870162403184,892.4870162403184,193.91079001447477,193.91079001447477,193.91079001447477,306.065011413091,306.065011413091,306.065011413091,768.7293533216499,768.7293533216499,768.7293533216499,-25.667476302211636,-25.667476302211636,-25.667476302211636,-3712.0766465027527,-3712.0766465027527,-3712.0766465027527,0.0,0.0,0.0,108711.13716445914
292,2025-06-30,112645.43691783962,106554.21906042703,109327.03383786073,112645.43691783962,112645.43691783962,-4667.433987905017,-4667.433987905017,-4667.433987905017,-2400.2515910421166,-2400.2515910421166,-2400.2515910421166,763.1373435947387,763.1373435947387,763.1373435947387,-1186.6029575452444,-1186.6029575452444,-1186.6029575452444,-967.3195159327763,-967.3195159327763,-967.3195159327763,896.2711962534617,896.2711962534617,896.2711962534617,219.14233215321377,219.14233215321377,219.14233215321377,-444.53553703496874,-444.53553703496874,-444.53553703496874,757.4675172191655,757.4675172191655,757.4675172191655,-10.514702755962523,-10.514702755962523,-10.514702755962523,-3480.8310303597723,-3480.8310303597723,-3480.8310303597723,0.0,0.0,0.0,107978.00292993459
293,2025-07-01,112823.33129621415,106638.0739272139,109410.54508311248,112823.33129621415,112823.33129621415,-4836.35965784385,-4836.35965784385,-4836.35965784385,-2412.0528986079944,-2412.0528986079944,-2412.0528986079944,22.45891213838698,22.45891213838698,22.45891213838698,-1668.693616591609,-1668.693616591609,-1668.693616591609,-957.8470715602158,-957.8470715602158,-957.8470715602158,899.8759124989299,899.8759124989299,899.8759124989299,168.19241527033037,168.19241527033037,168.19241527033037,-199.79591309741642,-199.79591309741642,-199.79591309741642,816.2422250856897,816.2422250856897,816.2422250856897,-5.767198319319789,-5.767198319319789,-5.767198319319789,-3167.6660412522415,-3167.6660412522415,-3167.6660412522415,0.0,0.0,0.0,107986.9716383703
294,2025-07-02,113001.22567458868,108946.88364849372,111851.04347723481,113001.22567458868,113001.22567458868,-2596.366741711255,-2596.366741711255,-2596.366741711255,-2510.1052106314396,-2510.1052106314396,-2510.1052106314396,743.3770226183823,743.3770226183823,743.3770226183823,176.8162466058648,176.8162466058648,176.8162466058648,-967.1354200407543,-967.1354200407543,-967.1354200407543,905.7346378371327,905.7346378371327,905.7346378371327,835.5042837966206,835.5042837966206,835.5042837966206,508.0632333572137,508.0632333572137,508.0632333572137,638.9786177827464,638.9786177827464,638.9786177827464,22.399081885962968,22.399081885962968,22.399081885962968,-2773.18298831712,-2773.18298831712,-2773.18298831712,0.0,0.0,0.0,110404.85893287743
295,2025-07-03,113179.12005296325,109813.93770702463,112483.42287033598,113179.12003168931,113179.12005296325,-2004.0678340992588,-2004.0678340992588,-2004.0678340992588,-2548.2014985766923,-2548.2014985766923,-2548.2014985766923,1289.1970276786558,1289.1970276786558,1289.1970276786558,295.8926910383318,295.8926910383318,295.8926910383318,-978.4104143036027,-978.4104143036027,-978.4104143036027,913.3662254854895,913.3662254854895,913.3662254854895,242.03664090437618,242.03664090437618,242.03664090437618,728.1220532805071,728.1220532805071,728.1220532805071,640.7355977598711,640.7355977598711,640.7355977598711,9.047058809727284,9.047058809727284,9.047058809727284,-2299.9605251375906,-2299.9605251375906,-2299.9605251375906,0.0,0.0,0.0,111175.05221886399
